age,location,policy_type,gender,income_bracket,policy_duration_months,coverage_amount,premium_paid,vehicle_age,late_payments,previous_claims,claim_frequency,premium_to_coverage,has_late_payments,high_risk_location,young_and_risky,high_claim_risk,underinsured,age_risk,claim_severity,claims_and_location
78,1,2,0,2,92,2670070.037587876,45962.83896968222,12.3782392002499,0,0,0.0,0.01721409481792613,0,1,0,0,0,0,0.0,0
61,1,0,0,1,57,613017.0408954727,10972.99577005169,14.740391658304391,5,2,0.42016806722689076,0.0178999845991604,1,1,0,0,0,0,3508.1564637782844,2
42,0,1,0,0,69,4165816.415428253,41908.027739809135,10.284111583542613,3,0,0.0,0.010059979475812096,1,0,0,0,0,0,0.0,0
66,1,1,1,2,95,1633709.30118005,17628.99663035633,13.908715888294823,2,0,0.0,0.010790779307992479,1,1,0,0,0,0,0.0,0
44,3,0,1,1,38,1540966.7024738016,5851.509449334875,14.380055956561945,2,0,0.0,0.0037972977624812633,1,0,0,0,1,0,0.0,0
76,2,2,0,2,13,489395.31830079097,29901.1351242578,12.881736994324438,5,10,9.146341463414634,0.06109812128382238,1,1,0,1,0,0,76863.95080707148,10
80,0,0,0,0,63,2556645.061290681,26575.163781767234,18.73315645580718,3,1,0.19011406844106465,0.010394545602042131,1,0,0,0,0,0,1587.0496746548167,0
59,0,1,0,1,40,2118636.26174142,42081.18385028312,10.720873830130644,5,0,0.0,0.019862391865732746,1,0,0,0,0,0,0.0,0
45,0,2,0,1,17,539741.7027097516,6043.816822385779,1.1389749727023268,3,1,0.7009345794392523,0.011197609301017406,1,0,0,0,0,0,5878.894767783656,0
77,0,0,0,0,31,3770283.0440504057,32617.284224472427,11.303359769655184,1,2,0.7712082262210798,0.008651149995073118,1,0,0,0,1,0,6449.532408900354,0
33,0,1,0,0,112,378736.301848687,31400.617273582466,12.787780462460974,5,2,0.21405636817695325,0.08290891655017135,1,0,0,0,0,0,1785.5548611731094,0
32,1,1,0,0,94,767929.1496492326,49751.628290564295,6.815690629487592,1,2,0.254993625159371,0.06478674193501048,1,1,0,0,0,0,2127.433251781725,2
79,0,1,1,1,86,2330453.802757282,17074.749505409116,9.455533430791643,5,0,0.0,0.007326791636864533,1,0,0,0,1,0,0.0,0
79,0,0,1,1,29,1820892.352308976,3185.100432246008,15.40985454716442,1,1,0.4120879120879121,0.0017491975353266642,1,0,0,0,1,0,3447.087211306446,0
64,1,2,1,1,114,1413799.773960043,21150.040144333776,14.376824910949768,0,0,0.0,0.014959713804095135,0,1,0,0,0,0,0.0,0
79,0,1,0,0,33,2841439.5670758737,23757.22962820228,3.552171056222706,0,0,0.0,0.00836098357321075,0,0,0,0,1,0,0.0,0
68,0,0,1,0,62,2645236.384908583,19078.651545355584,4.758927360421012,3,0,0.0,0.007212456165383634,1,0,0,0,1,0,0.0,0
61,0,2,1,2,25,2190452.344313296,31892.85642516147,11.412936679459245,0,1,0.47770700636942676,0.014559940718345295,0,0,0,0,0,0,3998.400639744102,0
72,0,1,0,1,117,3892092.925650713,14026.432262518236,7.807329503049372,3,1,0.10245901639344263,0.0036038276820266057,1,0,0,0,1,0,854.627809588924,0
69,1,0,1,2,17,2515913.067246157,9973.932948703265,15.009797636327711,4,0,0.0,0.003964339244828137,1,1,0,0,1,0,0.0,0
74,0,0,0,2,32,4895040.155151472,23185.656974370748,2.025884330688743,2,0,0.0,0.00473656112965792,1,0,0,0,1,0,0.0,0
20,2,0,0,2,75,4018968.7282980736,36621.11040476438,6.511920807532389,0,2,0.3194888178913738,0.009112066499992844,0,1,1,0,1,1,2666.3111585121983,2
54,4,0,1,0,19,576924.3872929881,44681.96123144712,7.352916404801704,5,0,0.0,0.07744855554922149,1,0,0,0,0,0,0.0,0
68,2,0,1,1,29,1406162.3872212027,33521.461151900025,8.6131606212091,0,1,0.4120879120879121,0.02383896854171587,0,1,0,0,0,0,3447.087211306446,1
24,1,0,1,0,33,2702591.771678478,19490.5892934723,15.326547869620589,5,0,0.0,0.007211814017049749,1,1,1,0,1,1,0.0,0
38,3,0,0,2,81,2370997.377067052,37584.760535860274,0.3697822627436342,3,0,0.0,0.01585187767007749,1,0,0,0,0,0,0.0,0
26,2,2,0,2,110,282559.8641418764,10253.919864233509,2.8920769241206123,4,0,0.0,0.03628937015694204,1,1,1,0,0,1,0.0,0
56,0,2,1,0,65,2664344.872273763,37847.96143547797,11.023748416025237,4,0,0.0,0.01420535370149917,1,0,0,0,0,0,0.0,0
35,0,1,0,1,46,3046514.331811752,24563.91129420281,9.735309391458554,3,0,0.0,0.00806295606656975,1,0,0,0,1,0,0.0,0
21,3,1,1,2,56,2343660.5808382835,14269.53529471008,19.029503457489405,5,0,0.0,0.006088567325188557,1,0,0,0,1,1,0.0,0
42,0,2,1,0,64,4337361.673991293,34920.738737717846,1.1169362529877749,5,1,0.1871490954460387,0.00805114751361555,1,0,0,0,1,0,1562.255897516013,0
77,0,0,0,0,65,2805119.3159607346,21404.313430031627,5.930288555076821,4,1,0.18427518427518427,0.007630446673672534,1,0,0,0,1,0,1538.2248884786954,0
31,2,0,0,0,68,3942958.163407002,31383.097219087384,15.557305691496886,4,0,0.0,0.007959277232700165,1,1,0,0,1,0,0.0,0
67,3,1,0,1,84,2954776.881602888,33519.691535156446,19.2272790360379,0,0,0.0,0.011344237742759963,0,0,0,0,0,0,0.0,0
75,0,2,0,2,91,4551071.757145383,20267.19282634038,19.884817948681107,4,0,0.0,0.004453279109472885,1,0,0,0,1,0,0.0,0
26,1,1,0,0,86,1110230.332988063,49312.94430408438,5.833918693018072,0,4,0.557361820715281,0.04441685873164303,0,1,1,0,0,1,4650.622020695268,4
43,0,2,0,2,59,4166817.639269508,23394.843745313257,11.913129080589988,0,6,1.2178619756427604,0.005614559050697755,0,0,0,0,1,0,10167.768174885612,0
70,2,0,1,0,96,2267554.0757658603,49221.2126569311,19.15516178650663,5,0,0.0,0.021706742505463446,1,1,0,0,0,0,0.0,0
19,0,0,1,1,53,3502997.680894037,12525.11029773887,19.545131944086634,1,3,0.677710843373494,0.0035755405521098716,1,0,0,0,1,1,5659.309564233164,0
37,0,1,0,2,34,2852225.3121842463,9181.075443093594,2.3563646856789333,2,0,0.0,0.003218916602304999,1,0,0,0,1,0,0.0,0
45,3,0,0,2,65,588829.2932462214,31911.627642194417,7.088761034464641,0,5,0.9213759213759214,0.05419503999930934,0,0,0,0,0,0,7691.124442393478,0
64,1,0,1,0,73,2211104.3006360712,27805.410058117646,14.672502527176292,0,2,0.3282275711159738,0.01257534975820242,0,1,0,0,0,0,2739.3507738665935,2
77,2,1,0,2,69,3385698.570046436,27475.636644414,11.180298161278827,3,0,0.0,0.008115204586238496,1,1,0,0,1,0,0.0,0
24,1,0,0,0,56,4497099.319067809,49756.36673575413,11.522295678392904,2,1,0.21382751247327156,0.011064102234554821,1,1,1,0,0,1,1785.3954650955188,1
61,0,0,0,0,95,1131373.6727685751,1052.3459494639708,8.61139993631927,1,1,0.1261564339781329,0.0009301488672502827,1,0,0,0,1,0,1052.5207872855487,0
78,2,0,0,1,92,1808152.3632356531,23222.019612305143,16.88572952630068,4,0,0.0,0.012842955027484655,1,1,0,0,0,0,0.0,0
25,0,2,1,0,106,1835008.79670276,16039.129156166558,1.2897877532845126,5,0,0.0,0.00874062789103803,1,0,0,0,1,1,0.0,0
64,0,0,0,1,93,2645597.711989128,21968.927342980187,4.58463911860229,0,0,0.0,0.008303956100499874,0,0,0,0,1,0,0.0,0
52,0,0,0,2,40,4321876.06459312,46969.85136381132,14.06270394946649,2,0,0.0,0.01086793109129888,1,0,0,0,0,0,0.0,0
31,2,1,0,1,59,2007854.0727152703,40617.933846998414,16.38665393424815,2,0,0.0,0.020229524743187406,1,1,0,0,0,0,0.0,0
34,4,0,1,0,43,776700.1412657427,10881.104902957251,19.413203678859876,2,1,0.2782931354359926,0.0140094023224084,1,0,0,0,0,0,2325.0406882120437,0
53,4,1,1,2,19,2557442.311167265,35507.9037021003,5.921979478810957,0,0,0.0,0.013884146441235801,0,0,0,0,0,0,0.0,0
67,1,1,0,0,61,236457.88652341632,29402.06170043885,4.406619188400112,4,0,0.0,0.12434375054811155,1,1,0,0,0,0,0.0,0
57,0,0,0,2,20,1755061.0911947894,20996.66759454362,5.167946812064976,2,0,0.0,0.01196349664421926,1,0,0,0,0,0,0.0,0
21,1,0,1,2,57,2595449.426797638,17756.093869650736,4.986595965824225,2,0,0.0,0.006841240525786881,1,1,1,0,1,1,0.0,0
19,3,0,0,1,17,2612524.412261973,30322.219589005905,9.53453840198522,5,3,2.102803738317757,0.011606482730122138,1,0,0,0,0,1,17636.68430335097,0
79,0,0,0,0,80,4106621.0274404823,23983.02290649625,5.674610034774352,2,3,0.4493260109835247,0.005840086700925308,1,0,0,0,1,0,3749.5313085864263,0
23,4,0,1,1,56,4015543.416688025,27936.74714203695,2.784621503140201,3,2,0.4276550249465431,0.006957152288869371,1,0,0,0,1,1,3570.7909301910377,0
71,0,0,1,0,88,1449032.41566114,38875.61435043131,1.0734286932868176,1,1,0.13617793917385385,0.026828671092500776,1,0,0,0,0,0,1136.2345188046813,0
59,4,1,0,0,36,1540171.903541352,48383.57421102212,5.116582705256745,4,0,0.0,0.03141439847437075,1,0,0,0,0,0,0.0,0
21,3,0,1,1,106,4909240.283532805,21131.642902156807,16.350281852479537,3,2,0.22615906520919712,0.004304462938999871,1,0,0,0,1,1,1886.6144703329874,0
71,3,0,0,0,109,1987853.3625168025,21899.653471534875,16.890649590979365,4,0,0.0,0.01101673482275402,1,0,0,0,0,0,0.0,0
46,0,2,1,0,92,756980.7017707126,42192.38556564077,11.820868658005502,3,0,0.0,0.05573772872884075,1,0,0,0,0,0,0.0,0
80,0,0,1,0,68,3301846.609586424,7361.986389132432,7.914275232252863,2,0,0.0,0.00222965729100238,1,0,0,0,1,0,0.0,0
35,0,1,1,1,37,1255399.388261733,40241.02743039793,5.328961899188005,1,0,0.0,0.0320543625288629,1,0,0,0,0,0,0.0,0
43,0,2,0,1,95,3036761.600885751,20167.54640213691,0.7887787724694428,0,0,0.0,0.006641135850059208,0,0,0,0,1,0,0.0,0
61,0,0,1,0,17,4115333.434646908,21342.11263193616,19.807562430155976,4,2,1.4018691588785046,0.00518599839332516,1,0,0,0,1,0,11757.789535567312,0
51,1,2,0,0,107,909613.9629685116,15533.50525722369,7.634290415387079,4,0,0.0,0.017077030167566936,1,1,0,0,0,0,0.0,0
27,1,1,1,2,108,2285588.466673664,7013.297976701743,7.458439090204001,1,0,0.0,0.0030684867587836995,1,1,1,0,1,1,0.0,0
79,2,1,0,2,70,1945597.5660105336,37518.75280084626,7.948761832443414,3,1,0.17113519680547634,0.019283922463441194,1,1,0,0,0,0,1428.36737608913,1
53,2,1,1,0,95,4996965.912645563,45042.08155238667,15.536358121327538,4,0,0.0,0.009013886076001069,1,1,0,0,1,0,0.0,0
31,0,1,1,0,71,3572580.443209286,25602.384739310597,13.167666411684964,1,0,0.0,0.0071663563843080745,1,0,0,0,1,0,0.0,0
48,4,1,0,0,22,457724.642286738,10397.30277225421,18.864948628671783,5,0,0.0,0.022715190716319344,1,0,0,0,0,0,0.0,0
65,0,0,1,0,58,1181551.6324552114,16196.279630376974,1.491349319686739,2,1,0.20646937370956644,0.013707635831068569,1,0,0,0,0,0,1723.8407171177384,0
32,1,0,0,1,63,828437.1413246136,5134.933181832696,19.217334078707665,0,1,0.19011406844106465,0.0061983376453147885,0,1,0,0,1,0,1587.0496746548167,1
25,1,2,0,1,21,125362.39096603384,41697.27605217591,11.790161043269134,1,2,1.1363636363636365,0.33261389165219907,1,1,1,0,0,1,9519.27653498334,2
31,3,0,0,1,54,1613464.8911343575,26515.0495045541,18.58866950677292,0,1,0.22172949002217296,0.01643360787452675,0,0,0,0,0,0,1851.5089798185522,0
40,0,0,0,0,50,1656062.853920234,48955.6662036726,15.278942757571468,1,0,0.0,0.029561478172262547,1,0,0,0,0,0,0.0,0
77,1,1,0,2,94,1213217.3661098937,38847.34228866309,19.726542878781306,4,3,0.38249043773905655,0.03202010048127128,1,1,0,0,0,0,3191.149877672588,3
74,2,0,0,1,38,2787855.775798613,36582.79927814781,4.259787917445923,1,1,0.31479538300104937,0.013122199313358044,1,1,0,0,0,0,2630.8866087871615,1
79,0,1,1,0,51,1131327.956482152,22461.89344860219,10.413482400240836,0,2,0.4694835680751174,0.019854449031651823,0,0,0,0,0,0,3920.7998431680066,0
57,2,1,0,1,109,4708274.244637749,18089.89968598014,18.77248015792387,1,1,0.10997067448680352,0.0038421507982805397,1,1,0,0,1,0,917.3470323823502,1
38,4,1,0,1,47,3675687.914425725,14521.493185670332,2.7502000114839986,2,0,0.0,0.003950687186790786,1,0,0,0,1,0,0.0,0
33,4,1,1,0,31,650933.2638547831,49437.60351638134,15.600623390523616,3,0,0.0,0.07594880382072831,1,0,0,0,0,0,0.0,0
62,0,1,0,1,57,1380862.3095951353,12306.871250993016,18.27911928123764,3,0,0.0,0.008912453527301226,1,0,0,0,1,0,0.0,0
35,0,1,1,0,80,4913068.270826094,8190.223458675399,7.49876493136256,4,1,0.14977533699450823,0.0016670282175069381,1,0,0,0,1,0,1249.8437695288087,0
64,0,0,1,1,85,1040916.5773087768,24075.087819812023,8.861244817980229,2,0,0.0,0.023128738760957418,1,0,0,0,0,0,0.0,0
70,0,1,0,0,74,628938.0922121452,26380.8368184226,16.641085165025757,2,1,0.16189962223421478,0.04194504471208545,1,0,0,0,0,0,1351.1687609782462,0
41,0,2,1,2,43,1199972.2850700729,9693.303506820266,11.328256475887514,3,0,0.0,0.008077939421304907,1,0,0,0,1,0,0.0,0
43,0,1,1,1,51,3583588.940066744,18136.23790363081,9.570133410182809,1,0,0.0,0.005060914674182434,1,0,0,0,1,0,0.0,0
42,4,0,1,0,51,2613470.683484862,15335.568396790852,5.481372291816613,4,2,0.4694835680751174,0.005867893768627668,1,0,0,0,1,0,3920.7998431680066,0
77,4,1,0,2,103,384444.7824226137,37332.24540630508,10.722329208525732,1,0,0.0,0.09710690882571865,1,0,0,0,0,0,0.0,0
77,0,1,1,2,40,1840836.485971956,24927.2459234198,7.517491481450764,3,0,0.0,0.013541260170560824,1,0,0,0,0,0,0.0,0
77,0,0,1,1,33,478771.5467174334,39086.948298781455,9.42252536397335,1,0,0.0,0.08164008022274852,1,0,0,0,0,0,0.0,0
62,1,1,1,1,84,1488879.3576500884,5507.646201125418,17.002336621674246,2,0,0.0,0.003699189014767654,1,1,0,0,1,0,0.0,0
58,0,0,0,0,77,896263.6298776832,16487.389814290444,16.91160326511046,4,0,0.0,0.018395691937854966,1,0,0,0,0,0,0.0,0
46,2,1,1,1,88,1141843.2282953823,15616.324474180048,0.4199135517825381,3,1,0.13617793917385385,0.013676417173948598,1,1,0,0,0,0,1136.2345188046813,1
32,2,2,1,2,46,3901905.514794096,23460.379326407183,10.917148683343454,3,1,0.26019080659150046,0.006012544172925661,1,1,0,0,1,0,2173.4405564007825,1
62,3,2,1,1,38,3928311.995163361,20747.123434198533,19.01462383681159,0,5,1.5739769150052467,0.005281434724871288,0,0,0,0,1,0,13154.433043935807,0
18,2,1,0,0,74,3675459.510291056,13791.151702469033,8.920623624084818,0,1,0.16189962223421478,0.0037522251643182093,0,1,1,0,1,1,1351.1687609782462,1
42,1,0,0,2,41,3456832.0801836983,41076.86429563285,2.208169736812755,3,0,0.0,0.011882805766666555,1,1,0,0,0,0,0.0,0
24,2,0,0,1,40,1263567.6321628017,45428.93808197525,0.2256120535132932,5,1,0.29910269192422734,0.03595291345401678,1,1,1,0,0,1,2499.3751562109474,1
26,0,0,1,2,46,2231634.896473567,38979.14030533138,8.163142261164765,1,0,0.0,0.017466629596203206,1,0,0,0,0,1,0.0,0
41,1,0,1,0,48,2327227.196294313,35325.012602193376,17.538559231638356,0,0,0.0,0.015179013250898718,0,1,0,0,0,0,0.0,0
18,1,1,0,0,37,2697547.464824055,29857.62106617097,17.854437379716625,3,1,0.3232758620689655,0.01106843210168837,1,1,1,0,0,1,2701.972439881113,1
61,0,1,1,0,15,4288913.385489269,17450.545973975484,13.233227087522383,2,0,0.0,0.00406875690060064,1,0,0,0,1,0,0.0,0
25,0,0,0,0,110,4448698.540519039,46005.23911726304,19.05900933101245,0,2,0.2179440610243371,0.010341280398038099,0,0,0,0,0,1,1818.01654395055,0
41,0,1,0,0,21,1119460.9836184257,32783.002087972825,1.4452366932441096,5,2,1.1363636363636365,0.029284630974062406,1,0,0,0,0,0,9519.27653498334,0
80,4,1,0,0,31,2188370.6722216336,44584.05381674001,7.409883349962607,0,0,0.0,0.020373172689134314,0,0,0,0,0,0,0.0,0
28,0,2,0,1,71,782720.5339213721,23191.92472969803,15.852668894418713,4,3,0.5061867266591676,0.029629891421411016,1,0,0,0,0,1,4224.757076468103,0
68,0,2,1,2,21,3258469.397308592,21192.67729798983,16.79756615337563,0,1,0.5681818181818182,0.006503874871574875,0,0,0,0,1,0,4759.63826749167,0
34,0,2,1,0,41,2881747.410442144,4771.456426530969,1.8298727780578816,2,0,0.0,0.001655751087928063,1,0,0,0,1,0,0.0,0
25,2,1,1,0,86,4261592.566857514,17531.872712263164,11.743075525817591,5,0,0.0,0.004113925110408165,1,1,1,0,1,1,0.0,0
52,0,0,0,0,27,2618513.7966643483,19906.56048489828,13.32260416337444,1,2,0.8849557522123894,0.007602236212860262,1,0,0,0,1,0,7404.664938911514,0
52,4,0,0,0,18,3916408.196852127,25216.49873086116,4.437950165564102,0,0,0.0,0.0064386798819240825,0,0,0,0,1,0,0.0,0
50,3,1,0,2,34,1624546.9617948476,24281.43844488933,0.6670000421807742,2,1,0.3516998827667058,0.014946590567376747,1,0,0,0,0,0,2940.311673037342,0
76,1,1,0,0,51,3486554.66231944,45978.14880291018,0.4142370756809432,4,2,0.4694835680751174,0.01318727314616383,1,1,0,0,0,0,3920.7998431680066,2
22,2,2,0,0,12,248798.2353318192,25858.20811212432,7.179993893938248,0,1,0.9900990099009901,0.103932437616823,0,1,1,0,0,1,8326.394671107411,1
59,0,0,0,2,56,800059.4749140729,42419.44252277165,2.549293634324814,0,0,0.0,0.053020360763959364,0,0,0,0,0,0,0.0,0
56,0,2,0,2,18,2262497.2638831344,7292.444452648268,11.424339785872492,5,0,0.0,0.003223183752231539,1,0,0,0,1,0,0.0,0
75,2,0,1,1,52,4440125.615240279,29034.54230444916,4.999412106141432,1,1,0.23023791250959327,0.0065391263119673445,1,1,0,0,1,0,1922.7071716977505,1
58,0,0,0,0,79,4431314.908339354,27357.01519602632,6.762031628523668,5,2,0.3033367037411527,0.006173566018250499,1,0,0,0,1,0,2531.3251487153525,0
45,0,0,1,2,13,3013910.976145038,8636.614544963271,6.891624284997706,0,1,0.9146341463414634,0.0028655838160668405,0,0,0,0,1,0,7686.395080707149,0
24,1,0,1,1,28,692944.9108226062,13010.877017552986,18.62611965797068,1,0,0.0,0.01877620663141244,1,1,1,0,0,1,0.0,0
26,0,2,0,1,115,3420779.439825238,25516.77853611973,17.23165162415809,2,1,0.10423905489923557,0.007459346301154651,1,0,0,0,1,1,869.4896095991653,0
25,4,0,0,1,20,925562.4531427613,26541.5074350389,12.975269904003255,4,0,0.0,0.0286760845344968,1,0,0,0,0,1,0.0,0
29,0,1,0,1,22,1784802.8014387677,45103.33485961519,3.1397259715355608,1,0,0.0,0.025270766367325715,1,0,0,0,0,1,0.0,0
51,2,1,0,2,55,1605227.2730703796,9059.94413265813,1.5390214448751616,0,0,0.0,0.005644025757728729,0,1,0,0,1,0,0.0,0
50,1,0,1,0,94,4428105.45209932,15931.897629980587,7.114049895170538,1,0,0.0,0.0035979038363795966,1,1,0,0,1,0,0.0,0
65,2,0,0,0,67,3483172.2918970487,12763.593601626526,11.421797954082848,1,0,0.0,0.0036643589507975413,1,1,0,0,1,0,0.0,0
72,0,0,0,1,25,401730.39435526193,39347.27461175488,14.499785958645734,0,0,0.0,0.0979444776526273,0,0,0,0,0,0,0.0,0
40,1,0,0,2,90,4224764.575912613,11579.48837245499,0.4804392124161594,3,2,0.2663115845539281,0.0027408600259211002,1,1,0,0,1,0,2221.9753360737695,2
79,3,0,0,0,58,2180485.8259737343,45038.412831474445,3.89579862808066,3,2,0.4129387474191329,0.020655219166494494,1,0,0,0,0,0,3447.681434235477,0
41,1,0,1,1,83,3786084.6342528034,46596.8274563872,8.768748439376257,4,2,0.28873917228103946,0.01230739189286753,1,1,0,0,0,0,2409.348271292615,2
54,0,2,1,1,70,3894559.962367102,6486.998069444051,7.192332219259603,3,1,0.17113519680547634,0.0016656562270117702,1,0,0,0,1,0,1428.36737608913,0
52,1,1,0,2,71,4993470.675729985,11626.834239032138,9.165740736451776,5,0,0.0,0.00232840742857639,1,1,0,0,1,0,0.0,0
61,2,1,1,1,44,1767373.8167826447,19831.985887116745,6.547885802067778,1,2,0.543970988213962,0.01122116079042497,1,1,0,0,0,0,4544.421722335833,2
57,1,1,1,0,67,4328994.402437075,43487.71510192606,11.75721692390821,2,0,0.0,0.0100456852004676,1,1,0,0,0,0,0.0,0
39,4,2,1,1,13,1469643.4199725606,6974.007247787284,17.319879140088034,4,0,0.0,0.004745373677421532,1,0,0,0,1,0,0.0,0
44,0,2,1,0,13,4977923.711508967,17881.04270492174,1.638415710068717,3,1,0.9146341463414634,0.0035920684416396458,1,0,0,0,1,0,7686.395080707149,0
52,1,0,0,1,71,2080743.5851878093,35363.41474246081,5.859787376719581,0,2,0.3374578177727784,0.01699556582764292,0,1,0,0,0,0,2816.504717645402,2
18,2,1,1,0,31,3317892.2934974283,36432.42382961697,5.326586765875694,3,0,0.0,0.010980592646486187,1,1,1,0,0,1,0.0,0
52,2,1,1,1,34,4972823.344206697,18464.015206650038,10.882701108794064,5,2,0.7033997655334115,0.003712984333342675,1,1,0,0,1,0,5880.623346074684,2
54,3,1,1,2,93,1042066.4499265885,48195.619710040046,17.84416164802791,1,1,0.1288659793814433,0.04625004408397842,1,0,0,0,0,0,1075.1532093323299,0
64,4,2,1,1,41,3138798.8424916524,18270.905885917346,16.39825411744459,2,1,0.2918287937743191,0.005820986544395309,1,0,0,0,1,0,2438.42965130456,0
31,1,0,0,1,96,4991966.176997616,31062.14115271165,18.05110451480225,5,0,0.0,0.006222426192232237,1,1,0,0,1,0,0.0,0
20,0,1,1,0,47,4722602.527711506,31153.151024974693,4.250543695274002,3,3,0.7640067911714772,0.006596606590583629,1,0,0,0,1,1,6381.620931716657,0
